family,program_code,variant,question,expected,repair_action,answer,pass
eligibility_threshold,731010120,below,"Thí sinh có 17,75 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Kinh tế: Logistics và vận tải đa phương thức (CLC) không?",NO,GENERIC_PT1_THRESHOLD_GUARD,"Không. Điểm PT1 17,75 thấp hơn ngưỡng 18,00 của Kinh tế: Logistics và vận tải đa phương thức (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,731010120,equal,"Thí sinh có 18,00 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Kinh tế: Logistics và vận tải đa phương thức (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 18,00 đạt ngưỡng 18,00 của Kinh tế: Logistics và vận tải đa phương thức (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,731010120,above,"Thí sinh có 18,25 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Kinh tế: Logistics và vận tải đa phương thức (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 18,25 đạt ngưỡng 18,00 của Kinh tế: Logistics và vận tải đa phương thức (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734010120,below,"Thí sinh có 17,25 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC) không?",NO,GENERIC_PT1_THRESHOLD_GUARD,"Không. Điểm PT1 17,25 thấp hơn ngưỡng 17,50 của Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734010120,equal,"Thí sinh có 17,50 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 17,50 đạt ngưỡng 17,50 của Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734010120,above,"Thí sinh có 17,75 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 17,75 đạt ngưỡng 17,50 của Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734010121,below,"Thí sinh có 17,25 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC) không?",NO,GENERIC_PT1_THRESHOLD_GUARD,"Không. Điểm PT1 17,25 thấp hơn ngưỡng 17,50 của Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734010121,equal,"Thí sinh có 17,50 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 17,50 đạt ngưỡng 17,50 của Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734010121,above,"Thí sinh có 17,75 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 17,75 đạt ngưỡng 17,50 của Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734030120,below,"Thí sinh có 17,25 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC) không?",NO,GENERIC_PT1_THRESHOLD_GUARD,"Không. Điểm PT1 17,25 thấp hơn ngưỡng 17,50 của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734030120,equal,"Thí sinh có 17,50 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 17,50 đạt ngưỡng 17,50 của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,734030120,above,"Thí sinh có 17,75 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 17,75 đạt ngưỡng 17,50 của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,748020120,below,"Thí sinh có 17,25 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Công nghệ thông tin: Thiết kế game và Multimedia (CLC) không?",NO,GENERIC_PT1_THRESHOLD_GUARD,"Không. Điểm PT1 17,25 thấp hơn ngưỡng 17,50 của Công nghệ thông tin: Thiết kế game và Multimedia (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,748020120,equal,"Thí sinh có 17,50 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Công nghệ thông tin: Thiết kế game và Multimedia (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 17,50 đạt ngưỡng 17,50 của Công nghệ thông tin: Thiết kế game và Multimedia (CLC). [DHHP-2026-PROGRAMS]",1
eligibility_threshold,748020120,above,"Thí sinh có 17,75 điểm PT1 và không có điều kiện bổ sung khác. Có đạt ngưỡng của Công nghệ thông tin: Thiết kế game và Multimedia (CLC) không?",YES,GENERIC_PT1_THRESHOLD_GUARD,"Có. Điểm PT1 17,75 đạt ngưỡng 17,50 của Công nghệ thông tin: Thiết kế game và Multimedia (CLC). [DHHP-2026-PROGRAMS]",1
