item_id,split,category,difficulty,expected_action,answer_source,question,gold_answer,answer,required_claim_recall,full_invariant_success,forbidden_hits,citation_count,strict_document_citation_precision,strict_document_citation_recall,api_retrieval_evidence_recall_at_5,explicit_polarity_applicable,explicit_polarity_match,input_tokens,output_tokens,turn_index,paired_core_item_id
DHHPQA-TEST-A1-001,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Địa chỉ chính thức của Trường Đại học Hải Phòng là gì?,"Địa chỉ của Trường là 171 Phan Đăng Lưu, Phù Liễn, Hải Phòng.","Địa chỉ chính thức của Trường Đại học Hải Phòng: **171 Phan Đăng Lưu, Phù Liễn, Hải Phòng**. [01_contacts_scope__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,1421,51,,
DHHPQA-TEST-A1-002,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Website chính của Trường Đại học Hải Phòng là địa chỉ nào?,Website chính là https://dhhp.edu.vn.,Website chính của Trường Đại học Hải Phòng là: https://dhhp.edu.vn [01_contacts_scope__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,1187,36,,
DHHPQA-TEST-A1-003,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,PT1 là phương thức xét tuyển nào?,Xét tuyển kết quả thi tốt nghiệp THPT năm 2026,PT1 là phương thức xét tuyển dựa trên kết quả thi tốt nghiệp THPT năm 2026; đây cũng là phương thức gốc để quy đổi điểm các phương thức khác. [02_methods_restrictions__t512_o128__c0001] [05_thresholds_equivalence__t512_o128__c0001],1.0,1,0,2,0.5,1.0,1.0,0,,3915,74,,
DHHPQA-TEST-A1-004,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,PT2 sử dụng kết quả học tập của những lớp nào?,"Xét tuyển kết quả học tập THPT/học bạ, sử dụng điểm trung bình chung kết quả học tập cả năm các lớp 10, 11, 12","PT2 xét kết quả học tập **cả năm lớp 10, lớp 11 và lớp 12**. [02_methods_restrictions__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,2903,44,,
DHHPQA-TEST-A1-005,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,PT3.1 kết hợp chứng chỉ ngoại ngữ với kết quả nào?,Xét tuyển kết hợp chứng chỉ ngoại ngữ và kết quả thi tốt nghiệp THPT năm 2026,PT3.1 kết hợp chứng chỉ ngoại ngữ với kết quả thi tốt nghiệp THPT năm 2026. [02_methods_restrictions__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,3095,44,,
DHHPQA-TEST-A1-006,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,PT3.2 kết hợp chứng chỉ ngoại ngữ với loại kết quả nào?,"Xét tuyển kết hợp chứng chỉ ngoại ngữ với điểm trung bình chung kết quả học tập cả năm lớp 10, 11, 12","PT3.2 kết hợp chứng chỉ ngoại ngữ với **kết quả học tập cả năm lớp 10, 11 và 12**. Phương thức này không áp dụng cho các ngành Sư phạm, Ngôn ngữ Anh, Ngôn ngữ Trung Quốc và Nhật Bản học. [02_methods_restrictions__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,3079,83,,
DHHPQA-TEST-A1-007,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,PT5 trong tuyển sinh năm 2026 là gì?,Xét tuyển thẳng theo quy định của Quy chế tuyển sinh hiện hành,"PT5 là **xét tuyển thẳng theo quy định**. [02_methods_restrictions__t512_o128__c0001]

Hồ sơ PT5 được nhận từ **25/5/2026 đến 20/6/2026**. [04_registration_deadlines_documents__t512_o128__c0001]",1.0,1,0,2,0.5,1.0,1.0,0,,2772,75,,
DHHPQA-TEST-A1-008,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,IELTS 5.0 được quy đổi thành bao nhiêu điểm?,"IELTS 5.0 được quy đổi thành 8,0 điểm.","IELTS 5.0 được quy đổi thành **8,0 điểm**. [06_certificate_status__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,1230,35,,
DHHPQA-TEST-A1-009,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,IELTS 5.5 được quy đổi thành bao nhiêu điểm?,"IELTS 5.5 được quy đổi thành 8,5 điểm.","IELTS 5.5 được quy đổi thành **8,5 điểm**. [06_certificate_status__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,1230,35,,
DHHPQA-TEST-A1-010,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,IELTS 6.0 được quy đổi thành bao nhiêu điểm?,"IELTS 6.0 được quy đổi thành 9,0 điểm.","IELTS 6.0 được quy đổi thành **9,0 điểm**. [06_certificate_status__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,1230,35,,
DHHPQA-TEST-A1-011,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Khi nào hệ thống khóa chức năng đăng ký quy đổi chứng chỉ ngoại ngữ?,Hệ thống khóa chức năng đăng ký từ ngày 21/6/2026.,Hệ thống đã khóa chức năng đăng ký quy đổi chứng chỉ ngoại ngữ từ ngày 21/6/2026; đăng ký kết thúc ngày 20/6/2026. [06_certificate_status__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,1377,57,,
DHHPQA-TEST-A1-012,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Thời hạn đăng ký PT1 trên hệ thống Bộ kết thúc lúc nào?,Thời hạn đăng ký PT1 kết thúc lúc 17h00 ngày 14/7/2026.,PT1 trên hệ thống Bộ GD&ĐT kết thúc lúc **17h00 ngày 14/7/2026**; thời hạn này đã hết. [04_registration_deadlines_documents__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,1332,53,,
DHHPQA-TEST-A1-013,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Thời hạn đăng ký PT2 trên hệ thống Trường kết thúc lúc nào?,Thời hạn đăng ký PT2 kết thúc lúc 17h00 ngày 14/7/2026.,PT2 trên hệ thống tuyển sinh của Trường kết thúc lúc **17h00 ngày 14/7/2026**. [04_registration_deadlines_documents__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,1385,47,,
DHHPQA-TEST-A1-014,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Thời hạn đăng ký thi năng khiếu kết thúc ngày nào?,Thời hạn đăng ký thi năng khiếu kết thúc ngày 30/5/2026.,Thời hạn đăng ký thi năng khiếu kết thúc ngày **30/5/2026**; hiện đã hết hạn. [04_registration_deadlines_documents__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,1330,46,,
DHHPQA-TEST-A1-015,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Lệ phí hồ sơ thuộc mục 6.4 là bao nhiêu?,Lệ phí là 100.000 đồng cho mỗi hồ sơ.,Lệ phí hồ sơ mục 6.4 là **100.000 đồng/hồ sơ**. [04_registration_deadlines_documents__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,0,,1332,41,,
DHHPQA-TEST-A1-016,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Sinh viên chương trình chất lượng cao đạt PT1 từ 27 điểm được hỗ trợ học phí thế nào?,Được học bổng 100% học phí năm thứ nhất.,"Sinh viên chương trình chất lượng cao có điểm trúng tuyển theo PT1 từ 27,00 trở lên được học bổng 100% học phí năm thứ nhất. Ngoài ra, được miễn phí gửi xe và ở ký túc xá trong năm thứ nhất. [07_scholarships_tuition__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,2324,78,,
DHHPQA-TEST-A1-017,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Sinh viên chương trình chất lượng cao có được miễn phí ký túc xá năm thứ nhất không?,Có. Sinh viên chương trình chất lượng cao được miễn phí ở Ký túc xá năm thứ nhất.,Có. Sinh viên chương trình chất lượng cao được miễn phí ở ký túc xá trong năm thứ nhất; đồng thời được miễn phí gửi xe. [07_scholarships_tuition__t512_o128__c0001],1.0,1,0,1,1.0,1.0,1.0,1,1,2305,53,,
DHHPQA-TEST-A1-018,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Kinh tế: Logistics và vận tải đa phương thức (CLC) là bao nhiêu?,"Ngưỡng PT1 của Kinh tế: Logistics và vận tải đa phương thức (CLC) là 18,00 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Kinh tế: Logistics và vận tải đa phương thức (CLC)** (mã 731010120) là **18,00 điểm**; không công bố điều kiện bổ sung. [03_programs_current_2026__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,3896,73,,
DHHPQA-TEST-A1-019,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC) là bao nhiêu?,"Ngưỡng PT1 của Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC) là 17,50 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Quản trị kinh doanh: Kinh doanh số và đổi mới sáng tạo (CLC)**, mã 734010120, là **17,50 điểm**; chưa công bố điều kiện bổ sung. [03_programs_current_2026__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,3089,76,,
DHHPQA-TEST-A1-020,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC) là bao nhiêu?,"Ngưỡng PT1 của Quản trị kinh doanh: Quản trị kinh doanh quốc tế (CLC) là 17,50 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Quản trị kinh doanh quốc tế (CLC)** (mã 734010121) là **17,50 điểm**. [03_programs_current_2026__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,2335,61,,
DHHPQA-TEST-A1-021,TEST,A1,EASY,ANSWER,GPT_5_6_TERRA_BATCH,Ngưỡng PT1 năm 2026 của chương trình Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC) là bao nhiêu?,"Ngưỡng PT1 của Kế toán: Kế toán doanh nghiệp theo định hướng ACCA (CLC) là 17,50 điểm.","Ngưỡng PT1 năm 2026 của chương trình **Kế toán doanh nghiệp theo định hướng ACCA (CLC)**, mã 734030120, là **17,50 điểm**; không công bố điều kiện bổ sung. [03_programs_current_2026__t512_o128__c0001]",1.0,1,0,1,1.0,1.0,1.0,0,,3088,71,,
